month_end,target_rate
2024-02-29,0.1125
2024-03-31,0.11
2024-04-30,0.11
2024-05-31,0.11
2024-06-30,0.11
2024-07-31,0.11
2024-08-31,0.1075
2024-09-30,0.105
2024-10-31,0.105
2024-11-30,0.1025
2024-12-31,0.1
2025-01-31,0.1
2025-02-28,0.095
2025-03-31,0.09
2025-04-30,0.09
2025-05-31,0.085
2025-06-30,0.08
2025-07-31,0.08
2025-08-31,0.0775
2025-09-30,0.075
2025-10-31,0.075
2025-11-30,0.0725
2025-12-31,0.07
2026-01-31,0.07
2026-02-28,0.07
2026-03-31,0.0675
2026-04-30,0.0675
2026-05-31,0.065
2026-06-30,0.065
2026-07-31,0.065
2026-08-31,0.065
2026-09-30,0.065
