institution,type,protection_scheme,protection_limit_mxn,notes,source_url,accessed,verified
Nu,Bank,IPAB,3529545.6,SOFIPO until it started operating as a bank on 2026-08-06 (CNBV authorization 2026-07-10). Interest now subject to withholding like any bank.,https://www.nmas.com.mx/economia/finanzas-personales/nu-ya-es-un-banco-en-mexico-esto-significa-para-cuentahabientes-y-que-cambia-en-2026/,2026-09-24,yes
Revolut,Bank,IPAB,3529545.6,Local banking license.,https://www.tasas.mx/institucion/revolut,2026-09-24,yes
Ualá,Bank,IPAB,3529545.6,"Operates through ABC Capital, a bank it acquired. Reported a 563 mdp net loss in H1 2026.",https://www.rendimientosmexico.com/instrumentos/uala,2026-09-24,secondary
Banco Plata,Bank,IPAB,3529545.6,Bank authorized by CNBV; launched savings in Aug 2026. Plata+ membership costs 99 MXN + IVA per month. 15% Ahorro Ultra is only for the first 60 days of a new account.,https://www.rendimientosmexico.com/instrumentos/plata,2026-09-24,secondary
Openbank,Bank,IPAB,3529545.6,"Santander's digital bank. 13% on the first 30,000 in Apartados Open. The cap was 40,000 until Aug 2026 (El Cronista, and the Aug 2026 video says it fell from 40,000 to 30,000).",https://www.tasas.mx/institucion/openbank,2026-09-24,yes (cap change confirmed by video)
Mifel,Bank,IPAB,3529545.6,"Cuenta Digital: about 10% on demand up to 500,000, no spending conditions (video, Mar and Sep 2026). Only source is the video series; check the official site.","Germán Mi Amigo Dinero, Las Tasas Cambiaron... SEPTIEMBRE 2026, 2026-09-05, https://www.youtube.com/watch?v=2cCeCmegbkI",2026-09-24,video only
Mercado Pago,Fintech,Not reported,,"Not a SOFIPO or bank per tasas.mx; deposit protection not reported. The 25,000 cap is shared between the 12% and 15% options and balances above it earn nothing (Sep 2026 video). Tax treatment assumed equal to a bank (unverified).",https://www.tasas.mx/institucion/mercadopago,2026-09-24,yes (type); tax treatment unverified
Klar,SOFIPO,Prosofipo,220596.6,"Two products: Inversión Max pays 15% on up to 25,000 for Plus/Platino (2,500 monthly spend since Jun 2026), and the regular on-demand balance pays 8% (Plus) or 6%. That explains the 8% vs 15% gap between tasas.mx and other sources.",https://www.tasas.mx/institucion/klar,2026-09-24,resolved with video + Expansión
DiDi,SOFIPO,Prosofipo,220596.6,,https://www.tasas.mx/,2026-09-24,yes
Stori,SOFIPO,Prosofipo,220596.6,,https://www.tasas.mx/,2026-09-24,yes
Finsus,SOFIPO,Prosofipo,220596.6,,https://www.tasas.mx/,2026-09-24,yes
Kubo Financiero,SOFIPO,Prosofipo,220596.6,Users reported blocked withdrawals in May-June 2026. Excluded from the default strategies.,https://deceroalinfinito.com/mejores-sofipos,2026-09-24,yes
Supertasas,SOFIPO,Prosofipo,220596.6,"Covered only through the Germán Mi Amigo Dinero video series (rate history only, no current product). Mostly fixed terms.",https://www.youtube.com/@miamigodinero,2026-09-24,video only
CETES (via GBM or Cetesdirecto),Government,Federal government,,"Government debt, no deposit insurance needed. Buying through GBM may add fees (not modeled). Withholding assumed at the 0.90% rate.",https://www.tasas.mx/,2026-09-24,rates yes; GBM fees unverified
