amount_mxn,equity_share,equity_vehicle,spx_scenario,fx_scenario,savings_mxn,savings_net_mxn,equity_mxn,equity_net_mxn,total_net_mxn,total_net_return,is_default_amount
50000,0,Savings only,Bear,n/a,50000,7050.0,0,0.0,7050.0,0.141,no
50000,0,Savings only,Flat,n/a,50000,7050.0,0,0.0,7050.0,0.141,no
50000,0,Savings only,Base,n/a,50000,7050.0,0,0.0,7050.0,0.141,no
50000,0,Savings only,Bull,n/a,50000,7050.0,0,0.0,7050.0,0.141,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),45000.0,6345.0,5000.0,-1198.26,5146.74,0.10293,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso flat,45000.0,6345.0,5000.0,-775.85,5569.15,0.11138,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso -10% (USD/MXN +10%),45000.0,6345.0,5000.0,-353.43,5991.57,0.11983,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso +10% (USD/MXN -10%),45000.0,6345.0,5000.0,-527.37,5817.63,0.11635,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso flat,45000.0,6345.0,5000.0,-30.41,6314.59,0.12629,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso -10% (USD/MXN +10%),45000.0,6345.0,5000.0,419.9,6764.9,0.1353,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso +10% (USD/MXN -10%),45000.0,6345.0,5000.0,-169.56,6175.44,0.12351,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso flat,45000.0,6345.0,5000.0,330.44,6675.44,0.13351,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso -10% (USD/MXN +10%),45000.0,6345.0,5000.0,813.49,7158.49,0.14317,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso +10% (USD/MXN -10%),45000.0,6345.0,5000.0,330.44,6675.44,0.13351,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso flat,45000.0,6345.0,5000.0,867.16,7212.16,0.14424,no
50000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso -10% (USD/MXN +10%),45000.0,6345.0,5000.0,1403.88,7748.88,0.15498,no
50000,0.1,S&P 500 via IVVPESO (peso hedged),Bear,n/a,45000.0,6345.0,5000.0,-671.62,5673.38,0.11347,no
50000,0.1,S&P 500 via IVVPESO (peso hedged),Flat,n/a,45000.0,6345.0,5000.0,63.35,6408.35,0.12817,no
50000,0.1,S&P 500 via IVVPESO (peso hedged),Base,n/a,45000.0,6345.0,5000.0,419.52,6764.52,0.13529,no
50000,0.1,S&P 500 via IVVPESO (peso hedged),Bull,n/a,45000.0,6345.0,5000.0,953.76,7298.76,0.14598,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),37500.0,5287.5,12500.0,-2995.65,2291.85,0.04584,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso flat,37500.0,5287.5,12500.0,-1939.62,3347.88,0.06696,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso -10% (USD/MXN +10%),37500.0,5287.5,12500.0,-883.58,4403.92,0.08808,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso +10% (USD/MXN -10%),37500.0,5287.5,12500.0,-1318.42,3969.08,0.07938,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso flat,37500.0,5287.5,12500.0,-76.02,5211.48,0.10423,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso -10% (USD/MXN +10%),37500.0,5287.5,12500.0,1049.74,6337.24,0.12674,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso +10% (USD/MXN -10%),37500.0,5287.5,12500.0,-423.89,4863.61,0.09727,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso flat,37500.0,5287.5,12500.0,826.11,6113.61,0.12227,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso -10% (USD/MXN +10%),37500.0,5287.5,12500.0,2033.72,7321.22,0.14642,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso +10% (USD/MXN -10%),37500.0,5287.5,12500.0,826.11,6113.61,0.12227,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso flat,37500.0,5287.5,12500.0,2167.9,7455.4,0.14911,no
50000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso -10% (USD/MXN +10%),37500.0,5287.5,12500.0,3509.69,8797.19,0.17594,no
50000,0.25,S&P 500 via IVVPESO (peso hedged),Bear,n/a,37500.0,5287.5,12500.0,-1679.04,3608.46,0.07217,no
50000,0.25,S&P 500 via IVVPESO (peso hedged),Flat,n/a,37500.0,5287.5,12500.0,158.39,5445.89,0.10892,no
50000,0.25,S&P 500 via IVVPESO (peso hedged),Base,n/a,37500.0,5287.5,12500.0,1048.8,6336.3,0.12673,no
50000,0.25,S&P 500 via IVVPESO (peso hedged),Bull,n/a,37500.0,5287.5,12500.0,2384.41,7671.91,0.15344,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),25000.0,3525.0,25000.0,-5991.31,-2466.31,-0.04933,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso flat,25000.0,3525.0,25000.0,-3879.23,-354.23,-0.00708,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso -10% (USD/MXN +10%),25000.0,3525.0,25000.0,-1767.15,1757.85,0.03516,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso +10% (USD/MXN -10%),25000.0,3525.0,25000.0,-2636.83,888.17,0.01776,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso flat,25000.0,3525.0,25000.0,-152.04,3372.96,0.06746,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso -10% (USD/MXN +10%),25000.0,3525.0,25000.0,2099.48,5624.48,0.11249,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso +10% (USD/MXN -10%),25000.0,3525.0,25000.0,-847.78,2677.22,0.05354,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso flat,25000.0,3525.0,25000.0,1652.22,5177.22,0.10354,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso -10% (USD/MXN +10%),25000.0,3525.0,25000.0,4067.44,7592.44,0.15185,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso +10% (USD/MXN -10%),25000.0,3525.0,25000.0,1652.22,5177.22,0.10354,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso flat,25000.0,3525.0,25000.0,4335.8,7860.8,0.15722,no
50000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso -10% (USD/MXN +10%),25000.0,3525.0,25000.0,7019.38,10544.38,0.21089,no
50000,0.5,S&P 500 via IVVPESO (peso hedged),Bear,n/a,25000.0,3525.0,25000.0,-3358.08,166.92,0.00334,no
50000,0.5,S&P 500 via IVVPESO (peso hedged),Flat,n/a,25000.0,3525.0,25000.0,316.77,3841.77,0.07684,no
50000,0.5,S&P 500 via IVVPESO (peso hedged),Base,n/a,25000.0,3525.0,25000.0,2097.59,5622.59,0.11245,no
50000,0.5,S&P 500 via IVVPESO (peso hedged),Bull,n/a,25000.0,3525.0,25000.0,4768.82,8293.82,0.16588,no
100000,0,Savings only,Bear,n/a,100000,14305.0,0,0.0,14305.0,0.14305,no
100000,0,Savings only,Flat,n/a,100000,14305.0,0,0.0,14305.0,0.14305,no
100000,0,Savings only,Base,n/a,100000,14305.0,0,0.0,14305.0,0.14305,no
100000,0,Savings only,Bull,n/a,100000,14305.0,0,0.0,14305.0,0.14305,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),90000.0,13005.0,10000.0,-2396.52,10608.48,0.10608,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso flat,90000.0,13005.0,10000.0,-1551.69,11453.31,0.11453,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso -10% (USD/MXN +10%),90000.0,13005.0,10000.0,-706.86,12298.14,0.12298,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso +10% (USD/MXN -10%),90000.0,13005.0,10000.0,-1054.73,11950.27,0.1195,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso flat,90000.0,13005.0,10000.0,-60.81,12944.19,0.12944,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso -10% (USD/MXN +10%),90000.0,13005.0,10000.0,839.79,13844.79,0.13845,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso +10% (USD/MXN -10%),90000.0,13005.0,10000.0,-339.11,12665.89,0.12666,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso flat,90000.0,13005.0,10000.0,660.89,13665.89,0.13666,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso -10% (USD/MXN +10%),90000.0,13005.0,10000.0,1626.98,14631.98,0.14632,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso +10% (USD/MXN -10%),90000.0,13005.0,10000.0,660.89,13665.89,0.13666,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso flat,90000.0,13005.0,10000.0,1734.32,14739.32,0.14739,no
100000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso -10% (USD/MXN +10%),90000.0,13005.0,10000.0,2807.75,15812.75,0.15813,no
100000,0.1,S&P 500 via IVVPESO (peso hedged),Bear,n/a,90000.0,13005.0,10000.0,-1343.23,11661.77,0.11662,no
100000,0.1,S&P 500 via IVVPESO (peso hedged),Flat,n/a,90000.0,13005.0,10000.0,126.71,13131.71,0.13132,no
100000,0.1,S&P 500 via IVVPESO (peso hedged),Base,n/a,90000.0,13005.0,10000.0,839.04,13844.04,0.13844,no
100000,0.1,S&P 500 via IVVPESO (peso hedged),Bull,n/a,90000.0,13005.0,10000.0,1907.53,14912.53,0.14913,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),75000.0,10755.0,25000.0,-5991.31,4763.69,0.04764,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso flat,75000.0,10755.0,25000.0,-3879.23,6875.77,0.06876,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso -10% (USD/MXN +10%),75000.0,10755.0,25000.0,-1767.15,8987.85,0.08988,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso +10% (USD/MXN -10%),75000.0,10755.0,25000.0,-2636.83,8118.17,0.08118,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso flat,75000.0,10755.0,25000.0,-152.04,10602.96,0.10603,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso -10% (USD/MXN +10%),75000.0,10755.0,25000.0,2099.48,12854.48,0.12854,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso +10% (USD/MXN -10%),75000.0,10755.0,25000.0,-847.78,9907.22,0.09907,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso flat,75000.0,10755.0,25000.0,1652.22,12407.22,0.12407,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso -10% (USD/MXN +10%),75000.0,10755.0,25000.0,4067.44,14822.44,0.14822,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso +10% (USD/MXN -10%),75000.0,10755.0,25000.0,1652.22,12407.22,0.12407,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso flat,75000.0,10755.0,25000.0,4335.8,15090.8,0.15091,no
100000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso -10% (USD/MXN +10%),75000.0,10755.0,25000.0,7019.38,17774.38,0.17774,no
100000,0.25,S&P 500 via IVVPESO (peso hedged),Bear,n/a,75000.0,10755.0,25000.0,-3358.08,7396.92,0.07397,no
100000,0.25,S&P 500 via IVVPESO (peso hedged),Flat,n/a,75000.0,10755.0,25000.0,316.77,11071.77,0.11072,no
