date,institution,product,term_days,rate_annual,balance_cap_mxn,rate_on_excess,conditions,source_url,accessed,verified
2026-02-14,Nu,Cajita (on demand),0,0.07,,,Nu was a SOFIPO at this date,https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,Nu,Cajita Turbo,0,0.13,25000,0.07,Monthly debit card purchase,https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,Nu,Fixed term 7d,7,0.0705,,,,https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,Nu,Fixed term 28d,28,0.071,,,,https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,Nu,Fixed term 90d,90,0.072,,,,https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,Nu,Fixed term 180d,180,0.073,,,,https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,Revolut,Savings (on demand),0,0.15,25000,0.07,0.07 to 0.075 on 25k-1M; 0.05 above 1M,https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,Mercado Pago,On demand,0,0.13,25000,,"At least 3,000 MXN monthly deposits",https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,Ualá,On demand,0,0.07,30000,,"Base; 12% with 3k monthly spend, 15% with 6k",https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,Klar,On demand (Plus),0,0.15,,,"Klar Plus with 3,000 MXN monthly transactions",https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,CETES (via GBM or Cetesdirecto),CETES 28d,28,0.0688,,,,https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,CETES (via GBM or Cetesdirecto),CETES 91d,91,0.07,,,,https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,CETES (via GBM or Cetesdirecto),CETES 182d,182,0.071,,,,https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-02-14,CETES (via GBM or Cetesdirecto),CETES 364d,364,0.0737,,,,https://www.elfinanciero.com.mx/mis-finanzas/2026/02/14/donde-invertir-mi-dinero-en-2026-estos-son-los-rendimientos-de-cetes-nu-revolut-y-otras-fintech/,2026-09-24,secondary
2026-07-24,Nu,Cajita (on demand),0,0.065,,,,https://expansion.mx/finanzas-personales/2026/07/24/nu-klar-mercado-pago-cetes-cual-da-mas-rendimiento,2026-09-24,yes
2026-07-24,Nu,Cajita Turbo,0,0.13,25000,0.065,Monthly debit card purchase,https://expansion.mx/finanzas-personales/2026/07/24/nu-klar-mercado-pago-cetes-cual-da-mas-rendimiento,2026-09-24,yes
2026-07-24,Nu,Fixed term 7d,7,0.0655,,,,https://expansion.mx/finanzas-personales/2026/07/24/nu-klar-mercado-pago-cetes-cual-da-mas-rendimiento,2026-09-24,yes
2026-07-24,Nu,Fixed term 180d,180,0.068,,,,https://expansion.mx/finanzas-personales/2026/07/24/nu-klar-mercado-pago-cetes-cual-da-mas-rendimiento,2026-09-24,yes
2026-07-24,Mercado Pago,On demand,0,0.12,25000,0.06,"3,000+ MXN monthly deposits, otherwise 6%",https://expansion.mx/finanzas-personales/2026/07/24/nu-klar-mercado-pago-cetes-cual-da-mas-rendimiento,2026-09-24,yes
2026-07-24,Klar,On demand (Plus/Platino),0,0.15,,,"2,500 MXN monthly card spend; 6.5% for other users",https://expansion.mx/finanzas-personales/2026/07/24/nu-klar-mercado-pago-cetes-cual-da-mas-rendimiento,2026-09-24,yes
2026-07-24,Kubo Financiero,Fixed term 365d,365,0.12,,,,https://expansion.mx/finanzas-personales/2026/07/24/nu-klar-mercado-pago-cetes-cual-da-mas-rendimiento,2026-09-24,yes
2026-07-24,CETES (via GBM or Cetesdirecto),CETES 28d,28,0.0618,,,,https://expansion.mx/finanzas-personales/2026/07/24/nu-klar-mercado-pago-cetes-cual-da-mas-rendimiento,2026-09-24,yes
2026-07-24,CETES (via GBM or Cetesdirecto),CETES 91d,91,0.0649,,,,https://expansion.mx/finanzas-personales/2026/07/24/nu-klar-mercado-pago-cetes-cual-da-mas-rendimiento,2026-09-24,yes
2026-07-24,CETES (via GBM or Cetesdirecto),CETES 182d,182,0.0675,,,,https://expansion.mx/finanzas-personales/2026/07/24/nu-klar-mercado-pago-cetes-cual-da-mas-rendimiento,2026-09-24,yes
