strategy,amount_mxn,horizon_days,rate_shock_bp,institution,type,product,term_days,rate_annual,allocated_mxn,gross_interest_mxn
A. All in Stori on demand (SOFIPO),50000,30,0,Stori,SOFIPO,On demand,0,0.0725,50000,297.95
B. All in Nu Cajita (bank),50000,30,0,Nu,Bank,Cajita (on demand),0,0.065,50000,267.12
C. All in CETES (GBM),50000,30,0,CETES (via GBM or Cetesdirecto),Government,CETES 28d,30,0.0615,50000,252.74
D. All in best SOFIPO fixed term,50000,30,0,Finsus,SOFIPO,Fixed term 30d,30,0.0719,50000,295.48
"E. Split, protected products only",50000,30,0,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"E. Split, protected products only",50000,30,0,Ualá,Bank,On demand (Plus),0,0.15,25000,308.22
"F. Split, including Mercado Pago",50000,30,0,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"F. Split, including Mercado Pago",50000,30,0,Ualá,Bank,On demand (Plus),0,0.15,25000,308.22
A. All in Stori on demand (SOFIPO),50000,30,50,Stori,SOFIPO,On demand,0,0.0725,50000,297.95
B. All in Nu Cajita (bank),50000,30,50,Nu,Bank,Cajita (on demand),0,0.065,50000,267.12
C. All in CETES (GBM),50000,30,50,CETES (via GBM or Cetesdirecto),Government,CETES 28d,30,0.0615,50000,252.74
D. All in best SOFIPO fixed term,50000,30,50,Finsus,SOFIPO,Fixed term 30d,30,0.0719,50000,295.48
"E. Split, protected products only",50000,30,50,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"E. Split, protected products only",50000,30,50,Ualá,Bank,On demand (Plus),0,0.15,25000,308.22
"F. Split, including Mercado Pago",50000,30,50,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"F. Split, including Mercado Pago",50000,30,50,Ualá,Bank,On demand (Plus),0,0.15,25000,308.22
A. All in Stori on demand (SOFIPO),50000,90,0,Stori,SOFIPO,On demand,0,0.0725,50000,893.84
B. All in Nu Cajita (bank),50000,90,0,Nu,Bank,Cajita (on demand),0,0.065,50000,801.37
C. All in CETES (GBM),50000,90,0,CETES (via GBM or Cetesdirecto),Government,CETES 91d,90,0.0659,50000,812.47
D. All in best SOFIPO fixed term,50000,90,0,Stori,SOFIPO,Fixed term 90d,90,0.11,50000,1356.16
"E. Split, protected products only",50000,90,0,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"E. Split, protected products only",50000,90,0,Ualá,Bank,On demand (Plus),0,0.15,25000,924.66
"F. Split, including Mercado Pago",50000,90,0,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"F. Split, including Mercado Pago",50000,90,0,Ualá,Bank,On demand (Plus),0,0.15,25000,924.66
A. All in Stori on demand (SOFIPO),50000,90,50,Stori,SOFIPO,On demand,0,0.0725,50000,893.84
B. All in Nu Cajita (bank),50000,90,50,Nu,Bank,Cajita (on demand),0,0.065,50000,801.37
C. All in CETES (GBM),50000,90,50,CETES (via GBM or Cetesdirecto),Government,CETES 91d,90,0.0659,50000,812.47
D. All in best SOFIPO fixed term,50000,90,50,Stori,SOFIPO,Fixed term 90d,90,0.11,50000,1356.16
"E. Split, protected products only",50000,90,50,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"E. Split, protected products only",50000,90,50,Ualá,Bank,On demand (Plus),0,0.15,25000,924.66
"F. Split, including Mercado Pago",50000,90,50,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"F. Split, including Mercado Pago",50000,90,50,Ualá,Bank,On demand (Plus),0,0.15,25000,924.66
A. All in Stori on demand (SOFIPO),50000,180,0,Stori,SOFIPO,On demand,0,0.0725,50000,1787.67
B. All in Nu Cajita (bank),50000,180,0,Nu,Bank,Cajita (on demand),0,0.065,50000,1602.74
C. All in CETES (GBM),50000,180,0,CETES (via GBM or Cetesdirecto),Government,CETES 182d,180,0.0691,50000,1703.84
D. All in best SOFIPO fixed term,50000,180,0,Stori,SOFIPO,Fixed term 180d,180,0.1,50000,2465.75
"E. Split, protected products only",50000,180,0,Revolut,Bank,Savings (on demand),0,0.15,25000,1849.32
