strategy,amount_mxn,horizon_days,rate_shock_bp,gross_interest_mxn,isr_withheld_mxn,net_return_mxn,effective_net_rate,exempt_eligible_balance_mxn,taxable_balance_mxn,fully_protected,needs_conditions,is_default_amount
A. All in Stori on demand (SOFIPO),50000,30,0,297.95,0.0,297.95,0.0725,50000,0.0,yes,no,no
B. All in Nu Cajita (bank),50000,30,0,267.12,0.0,267.12,0.065,50000,0.0,yes,no,no
C. All in CETES (GBM),50000,30,0,252.74,36.99,215.75,0.0525,0,50000.0,yes,no,no
D. All in best SOFIPO fixed term,50000,30,0,295.48,0.0,295.48,0.0719,50000,0.0,yes,no,no
"E. Split, protected products only",50000,30,0,616.44,36.99,579.45,0.141,0,50000.0,yes,yes,no
"F. Split, including Mercado Pago",50000,30,0,616.44,36.99,579.45,0.141,0,50000.0,yes,yes,no
A. All in Stori on demand (SOFIPO),50000,30,50,297.95,0.0,297.95,0.0725,50000,0.0,yes,no,no
B. All in Nu Cajita (bank),50000,30,50,267.12,0.0,267.12,0.065,50000,0.0,yes,no,no
C. All in CETES (GBM),50000,30,50,252.74,36.99,215.75,0.0525,0,50000.0,yes,no,no
D. All in best SOFIPO fixed term,50000,30,50,295.48,0.0,295.48,0.0719,50000,0.0,yes,no,no
"E. Split, protected products only",50000,30,50,616.44,36.99,579.45,0.141,0,50000.0,yes,yes,no
"F. Split, including Mercado Pago",50000,30,50,616.44,36.99,579.45,0.141,0,50000.0,yes,yes,no
A. All in Stori on demand (SOFIPO),50000,90,0,893.84,0.0,893.84,0.0725,50000,0.0,yes,no,no
B. All in Nu Cajita (bank),50000,90,0,801.37,0.0,801.37,0.065,50000,0.0,yes,no,no
C. All in CETES (GBM),50000,90,0,812.47,110.96,701.51,0.0569,0,50000.0,yes,no,no
D. All in best SOFIPO fixed term,50000,90,0,1356.16,0.0,1356.16,0.11,50000,0.0,yes,no,no
"E. Split, protected products only",50000,90,0,1849.32,110.96,1738.36,0.141,0,50000.0,yes,yes,no
"F. Split, including Mercado Pago",50000,90,0,1849.32,110.96,1738.36,0.141,0,50000.0,yes,yes,no
A. All in Stori on demand (SOFIPO),50000,90,50,893.84,0.0,893.84,0.0725,50000,0.0,yes,no,no
B. All in Nu Cajita (bank),50000,90,50,801.37,0.0,801.37,0.065,50000,0.0,yes,no,no
C. All in CETES (GBM),50000,90,50,812.47,110.96,701.51,0.0569,0,50000.0,yes,no,no
D. All in best SOFIPO fixed term,50000,90,50,1356.16,0.0,1356.16,0.11,50000,0.0,yes,no,no
"E. Split, protected products only",50000,90,50,1849.32,110.96,1738.36,0.141,0,50000.0,yes,yes,no
"F. Split, including Mercado Pago",50000,90,50,1849.32,110.96,1738.36,0.141,0,50000.0,yes,yes,no
A. All in Stori on demand (SOFIPO),50000,180,0,1787.67,0.0,1787.67,0.0725,50000,0.0,yes,no,no
B. All in Nu Cajita (bank),50000,180,0,1602.74,0.0,1602.74,0.065,50000,0.0,yes,no,no
C. All in CETES (GBM),50000,180,0,1703.84,221.92,1481.92,0.0601,0,50000.0,yes,no,no
D. All in best SOFIPO fixed term,50000,180,0,2465.75,0.0,2465.75,0.1,50000,0.0,yes,no,no
"E. Split, protected products only",50000,180,0,3698.63,221.92,3476.71,0.141,0,50000.0,yes,yes,no
"F. Split, including Mercado Pago",50000,180,0,3698.63,221.92,3476.71,0.141,0,50000.0,yes,yes,no
A. All in Stori on demand (SOFIPO),50000,180,50,1726.03,0.0,1726.03,0.07,50000,0.0,yes,no,no
B. All in Nu Cajita (bank),50000,180,50,1541.1,0.0,1541.1,0.0625,50000,0.0,yes,no,no
C. All in CETES (GBM),50000,180,50,1703.84,221.92,1481.92,0.0601,0,50000.0,yes,no,no
D. All in best SOFIPO fixed term,50000,180,50,2465.75,0.0,2465.75,0.1,50000,0.0,yes,no,no
"E. Split, protected products only",50000,180,50,3636.99,221.92,3415.07,0.1385,0,50000.0,yes,yes,no
"F. Split, including Mercado Pago",50000,180,50,3636.99,221.92,3415.07,0.1385,0,50000.0,yes,yes,no
A. All in Stori on demand (SOFIPO),50000,365,0,3625.0,0.0,3625.0,0.0725,50000,0.0,yes,no,no
B. All in Nu Cajita (bank),50000,365,0,3250.0,0.0,3250.0,0.065,50000,0.0,yes,no,no
C. All in CETES (GBM),50000,365,0,3620.0,450.0,3170.0,0.0634,0,50000.0,yes,no,no
D. All in best SOFIPO fixed term,50000,365,0,4345.0,0.0,4345.0,0.0869,50000,0.0,yes,no,no
"E. Split, protected products only",50000,365,0,7500.0,450.0,7050.0,0.141,0,50000.0,yes,yes,no
"F. Split, including Mercado Pago",50000,365,0,7500.0,450.0,7050.0,0.141,0,50000.0,yes,yes,no
A. All in Stori on demand (SOFIPO),50000,365,50,3436.64,0.0,3436.64,0.06873,50000,0.0,yes,no,no
B. All in Nu Cajita (bank),50000,365,50,3061.64,0.0,3061.64,0.06123,50000,0.0,yes,no,no
C. All in CETES (GBM),50000,365,50,3620.0,450.0,3170.0,0.0634,0,50000.0,yes,no,no
D. All in best SOFIPO fixed term,50000,365,50,4345.0,0.0,4345.0,0.0869,50000,0.0,yes,no,no
"E. Split, protected products only",50000,365,50,7311.64,450.0,6861.64,0.13723,0,50000.0,yes,yes,no
"F. Split, including Mercado Pago",50000,365,50,7311.64,450.0,6861.64,0.13723,0,50000.0,yes,yes,no
A. All in Stori on demand (SOFIPO),100000,30,0,595.89,0.0,595.89,0.0725,100000,0.0,yes,no,no
B. All in Nu Cajita (bank),100000,30,0,534.25,0.0,534.25,0.065,100000,0.0,yes,no,no
C. All in CETES (GBM),100000,30,0,505.48,73.97,431.51,0.0525,0,100000.0,yes,no,no
D. All in best SOFIPO fixed term,100000,30,0,590.96,0.0,590.96,0.0719,100000,0.0,yes,no,no
"E. Split, protected products only",100000,30,0,1216.44,40.68,1175.75,0.14305,45000,55000.0,yes,yes,no
"F. Split, including Mercado Pago",100000,30,0,1232.88,59.18,1173.7,0.1428,20000,80000.0,no,yes,no
A. All in Stori on demand (SOFIPO),100000,30,50,595.89,0.0,595.89,0.0725,100000,0.0,yes,no,no
B. All in Nu Cajita (bank),100000,30,50,534.25,0.0,534.25,0.065,100000,0.0,yes,no,no
C. All in CETES (GBM),100000,30,50,505.48,73.97,431.51,0.0525,0,100000.0,yes,no,no
D. All in best SOFIPO fixed term,100000,30,50,590.96,0.0,590.96,0.0719,100000,0.0,yes,no,no
"E. Split, protected products only",100000,30,50,1216.44,40.68,1175.75,0.14305,45000,55000.0,yes,yes,no
"F. Split, including Mercado Pago",100000,30,50,1232.88,59.18,1173.7,0.1428,20000,80000.0,no,yes,no
A. All in Stori on demand (SOFIPO),100000,90,0,1787.67,0.0,1787.67,0.0725,100000,0.0,yes,no,no
B. All in Nu Cajita (bank),100000,90,0,1602.74,0.0,1602.74,0.065,100000,0.0,yes,no,no
C. All in CETES (GBM),100000,90,0,1624.93,221.92,1403.01,0.0569,0,100000.0,yes,no,no
D. All in best SOFIPO fixed term,100000,90,0,2712.33,0.0,2712.33,0.11,100000,0.0,yes,no,no
"E. Split, protected products only",100000,90,0,3649.32,122.05,3527.26,0.14305,45000,55000.0,yes,yes,no
"F. Split, including Mercado Pago",100000,90,0,3698.63,177.53,3521.1,0.1428,20000,80000.0,no,yes,no
A. All in Stori on demand (SOFIPO),100000,90,50,1787.67,0.0,1787.67,0.0725,100000,0.0,yes,no,no
B. All in Nu Cajita (bank),100000,90,50,1602.74,0.0,1602.74,0.065,100000,0.0,yes,no,no
C. All in CETES (GBM),100000,90,50,1624.93,221.92,1403.01,0.0569,0,100000.0,yes,no,no
D. All in best SOFIPO fixed term,100000,90,50,2712.33,0.0,2712.33,0.11,100000,0.0,yes,no,no
"E. Split, protected products only",100000,90,50,3649.32,122.05,3527.26,0.14305,45000,55000.0,yes,yes,no
"F. Split, including Mercado Pago",100000,90,50,3698.63,177.53,3521.1,0.1428,20000,80000.0,no,yes,no
A. All in Stori on demand (SOFIPO),100000,180,0,3575.34,0.0,3575.34,0.0725,100000,0.0,yes,no,no
